ano_mes,id_curso,tx_nome_curso,count
2025-06,1139,Colaboração com o Microsoft 365,88
2025-06,1153,Fundamentos da Segurança Cibernética - Introdução ao CIS Controls,72
2025-06,1167,IA Generativo da Microsoft - Copilot,273
2025-06,1263,Governo Data-Driven: transformação orientada por dados em governos,76
2025-06,1304,Visão Geral da IA no Azure,19
2025-06,1305,Fundamentos da Visão Computacional - IA do Azure,29
2025-06,1328,Processamento de Linguagem Natural,23
2025-07,107,Planejamento Estratégico para Organizações Públicas,132
2025-07,153,Introdução à Lei Brasileira de Proteção de Dados Pessoais,239
2025-07,270,Governança de Dados,56
2025-07,290,Proteção de Dados Pessoais no Setor Público,219
2025-07,343,Planejamento da Contratação de Soluções de TIC,19
2025-07,367,Novas Tecnologias para a Transformação Digital,139
2025-07,373,Liderança e Gestão De Equipes,338
2025-07,377,Inteligência Artificial no Contexto do Serviço Público,614
2025-07,406,Análise de dados como suporte à tomada de decisão,144
2025-07,419,Transformação Digital no Serviço Público,56
2025-07,529,"Como implementar a LGPD: bases, mecanismos e processos",135
2025-07,534,Internet das coisas (IoT) aplicada para resolução de desafios,115
2025-07,536,Governança de Dados na Transformação Digital,40
2025-07,629,Aprendendo com Python,63
2025-07,724,Gestão de Riscos em Projetos de Transformação Digital,34
2025-07,787,Gestão de projetos,71
2025-07,797,Automação de Processos através da RPA para Transformação Digital,1167
2025-07,802,Visualização de Dados Aplicada à Transformação Digital,36
2025-07,810,Desvendando a Inteligência Artificial na Administração Pública,449
2025-07,815,Storytelling com Dados para Comunicação Profissional de Sucesso,126
2025-07,861,Inteligência Artificial para simplificar o dia a dia,268
2025-07,956,Inovando na Gestão de Projetos,97
2025-07,976,Introdução à Ciência de Dados - Conceitos e Ferramentas,195
2025-07,1073,Segurança Cibernética: Controles 1 a 6 do CIS Controls,64
2025-07,1088,A História da IA,371
2025-07,1090,Ética em IA,434
2025-07,1091,Inteligência Artificial Generativa,422
2025-07,1139,Colaboração com o Microsoft 365,46
2025-07,1153,Fundamentos da Segurança Cibernética - Introdução ao CIS Controls,78
2025-07,1167,IA Generativo da Microsoft - Copilot,264
2025-07,1263,Governo Data-Driven: transformação orientada por dados em governos,160
2025-07,1304,Visão Geral da IA no Azure,18
2025-07,1305,Fundamentos da Visão Computacional - IA do Azure,30
2025-07,1328,Processamento de Linguagem Natural,24
2025-07,1395,IA - Aplicações no Governo Federal,393
2025-08,107,Planejamento Estratégico para Organizações Públicas,240
2025-08,153,Introdução à Lei Brasileira de Proteção de Dados Pessoais,307
2025-08,270,Governança de Dados,69
2025-08,290,Proteção de Dados Pessoais no Setor Público,156
2025-08,343,Planejamento da Contratação de Soluções de TIC,27
2025-08,367,Novas Tecnologias para a Transformação Digital,139
2025-08,373,Liderança e Gestão De Equipes,396
2025-08,377,Inteligência Artificial no Contexto do Serviço Público,507
2025-08,406,Análise de dados como suporte à tomada de decisão,144
2025-08,419,Transformação Digital no Serviço Público,69
2025-08,529,"Como implementar a LGPD: bases, mecanismos e processos",127
2025-08,534,Internet das coisas (IoT) aplicada para resolução de desafios,97
2025-08,536,Governança de Dados na Transformação Digital,43
2025-08,629,Aprendendo com Python,62
2025-08,724,Gestão de Riscos em Projetos de Transformação Digital,35
2025-08,787,Gestão de projetos,56
